Feature,Importance
Online Security_Yes,4.390621537622896
Tech Support_Yes,4.269063582007439
Online Backup_Yes,4.044992943550508
Device Protection_Yes,3.879119948296103
Streaming TV_Yes,3.6977638294145905
Streaming Movies_Yes,3.6730233942572523
Engagement Score,3.658346783759147
Num Services,3.658346783759147
Phone Service_Yes,3.4779100656137714
Multiple Lines_Yes,3.472692932416574
Tenure Group_6+ años,2.78314747146905
Dependents_Yes,2.3616701722821847
Tenure Group_2-4 años,1.8244153554065075
Contract_Two year,1.7689327248300892
Tenure Group_4-6 años,1.7375841208642062
